,Ticker,Name,Last Sale,Net Change,% Change,Market Cap
64,APH,Amphenol Corporation Common Stock,$130.00,-17.06,-11.601%,"159,127,216,040"
65,QCOM,QUALCOMM Incorporated Common Stock,$148.89,1.71,1.162%,"159,021,235,088"
66,UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),$70.79,1.64,2.372%,"158,047,906,016"
67,ADI,"Analog Devices, Inc. Common Stock",$320.44,9.15,2.939%,"156,576,146,982"
68,DHR,Danaher Corporation Common Stock,$219.53,2.93,1.353%,"155,064,919,565"
69,LOW,"Lowe's Companies, Inc. Common Stock",$275.85,1.00,0.364%,"154,738,459,413"
70,UBER,"Uber Technologies, Inc. Common Stock",$73.92,-4.01,-5.146%,"153,593,221,764"
71,DE,Deere & Company Common Stock,$567.26,22.26,4.084%,"153,412,878,593"
72,PFE,"Pfizer, Inc. Common Stock",$26.78,1.01,3.919%,"152,263,248,243"
73,HON,Honeywell International Inc. Common Stock,$235.35,4.44,1.923%,"149,420,704,403"
74,BKNG,Booking Holdings Inc. Common Stock,"$4,607.13",-37.51,-0.808%,"148,505,376,101"
75,SHOP,Shopify Inc. Class A Subordinate Voting Shares,$114.02,-5.27,-4.418%,"148,372,065,549"
76,UNP,Union Pacific Corporation Common Stock,$249.76,8.27,3.425%,"148,147,863,637"
77,BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$25.67,0.02,0.078%,"147,943,537,887"
78,PDD,PDD Holdings Inc. American Depositary Shares,$102.13,-1.19,-1.152%,"144,988,493,164"
79,COF,Capital One Financial Corporation Common Stock,$225.46,2.12,0.949%,"143,332,498,583"
80,UBS,UBS Group AG Registered Ordinary Shares,$44.85,-2.82,-5.916%,"142,390,912,507"
81,ETN,"Eaton Corporation, PLC Ordinary Shares",$365.00,2.47,0.681%,"141,766,000,000"
82,SPGI,S&P Global Inc. Common Stock,$465.51,-2.70,-0.577%,"140,956,428,000"
83,SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$21.62,0.28,1.312%,"139,969,517,996"
84,LMT,Lockheed Martin Corporation Common Stock,$602.76,-25.50,-4.059%,"138,683,165,462"
85,SYK,Stryker Corporation Common Stock,$360.66,-0.16,-0.044%,"137,924,912,888"
86,BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR",$61.63,-0.24,-0.388%,"134,467,111,911"
87,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$74.48,0.95,1.292%,"133,855,345,993"
88,COP,ConocoPhillips Common Stock,$107.59,2.68,2.555%,"132,950,926,518"
89,SONY,Sony Group Corporation American Depositary Shares,$21.91,-0.02,-0.091%,"132,007,800,283"
90,APP,Applovin Corporation Class A Common Stock,$387.34,-74.45,-16.122%,"130,903,489,700"
91,MDT,Medtronic plc. Ordinary Shares,$101.84,-1.34,-1.299%,"130,560,326,943"
92,CB,Chubb Limited  Common Stock,$329.45,16.07,5.128%,"129,655,330,498"
93,NEM,Newmont Corporation,$116.85,-0.29,-0.248%,"127,514,079,330"
94,WELL,Welltower Inc. Common Stock,$185.48,-2.02,-1.077%,"127,300,125,416"
95,PLD,"Prologis, Inc. Common Stock",$134.84,2.96,2.244%,"125,248,426,280"
96,INTU,Intuit Inc. Common Stock,$445.64,11.55,2.661%,"124,066,176,000"
97,PH,Parker-Hannifin Corporation Common Stock,$967.99,3.66,0.38%,"122,176,337,907"
98,RIO,Rio Tinto Plc Common Stock,$96.48,0.11,0.114%,"121,014,123,612"
99,PGR,Progressive Corporation (The) Common Stock,$205.54,4.51,2.243%,"120,528,087,887"
100,VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$470.52,4.91,1.055%,"119,379,784,362"
101,SNY,Sanofi ADS,$48.08,0.59,1.242%,"118,061,043,308"
102,BMY,Bristol-Myers Squibb Company Common Stock,$57.62,1.63,2.911%,"117,300,089,416"
103,MFG,"Mizuho Financial Group, Inc. Sponosred ADR (Japan)",$9.29,0.40,4.499%,"116,721,725,964"
