,Ticker,Name,Last Sale,Net Change,% Change,Market Cap
517,AVB,"AvalonBay Communities, Inc. Common Stock",$177.81,3.52,2.02%,"25,176,997,170"
518,TS,Tenaris S.A. American Depositary Shares,$46.40,0.10,0.216%,"25,155,114,854"
519,UMC,United Microelectronics Corporation (NEW) Common Stock,$9.95,0.10,1.015%,"24,995,825,646"
520,ON,ON Semiconductor Corporation Common Stock,$62.06,2.63,4.425%,"24,971,604,249"
521,EDU,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)",$62.76,-0.75,-1.181%,"24,969,967,736"
522,JBL,Jabil Inc. Common Stock,$236.06,-9.57,-3.896%,"24,926,818,728"
523,KEY,KeyCorp Common Stock,$22.65,0.31,1.388%,"24,754,628,691"
524,BCE,"BCE, Inc. Common Stock",$26.34,0.24,0.92%,"24,562,730,020"
525,PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),$42.25,0.47,1.125%,"24,549,278,000"
526,TME,"Tencent Music Entertainment Group American Depositary Shares, each representing two Class A Ordinary Shares",$15.84,-0.56,-3.415%,"24,534,647,343"
527,ALAB,"Astera Labs, Inc. Common Stock",$144.67,-13.85,-8.737%,"24,435,286,127"
528,DRI,"Darden Restaurants, Inc. Common Stock",$212.22,6.73,3.275%,"24,434,851,423"
529,EIX,Edison International Common Stock,$63.46,1.98,3.221%,"24,418,586,574"
530,SOJC,"Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1, 2077",$22.165,-0.04,-0.18%,"24,382,550,776"
531,PAAS,Pan American Silver Corp. Common Stock,$57.51,0.84,1.482%,"24,271,922,970"
532,AWK,"American Water Works Company, Inc. Common Stock",$124.30,-1.59,-1.263%,"24,260,480,466"
533,DLTR,Dollar Tree Inc. Common Stock,$121.83,2.14,1.788%,"24,226,283,772"
534,CHD,"Church & Dwight Company, Inc. Common Stock",$100.59,1.82,1.843%,"24,154,683,842"
535,LDOS,"Leidos Holdings, Inc. Common Stock",$188.44,-1.35,-0.711%,"24,093,028,612"
536,CASY,"Casey's General Stores, Inc. Common Stock",$647.76,6.39,0.996%,"24,010,476,520"
537,EQR,Equity Residential Common Shares of Beneficial Interest,$63.08,1.29,2.088%,"24,000,345,401"
538,BNH,"Brookfield Finance Inc. 4.625% Subordinated Notes due October 16, 2080",$15.91,-0.04,-0.251%,"23,989,049,697"
539,TPL,Texas Pacific Land Corporation Common Stock,$346.47,10.35,3.079%,"23,885,052,455"
540,TW,Tradeweb Markets Inc. Class A Common Stock,$100.82,1.34,1.347%,"23,841,750,977"
541,BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,$15.77,0.01,0.063%,"23,777,958,122"
542,IP,International Paper Company Common Stock,$44.69,2.63,6.253%,"23,598,032,387"
543,VG,"Venture Global, Inc. Class A common stock",$9.61,0.13,1.371%,"23,526,342,828"
544,CHRW,"C.H. Robinson Worldwide, Inc. Common Stock",$198.74,-0.97,-0.486%,"23,478,582,756"
545,VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),$14.43,-0.23,-1.569%,"23,473,029,976"
546,EXEEL,Expand Energy Corporation Class C Warrants,$98.00,0.45,0.461%,"23,340,630,306"
547,CTRA,Coterra Energy Inc. Common Stock,$30.49,1.55,5.356%,"23,214,401,560"
548,SW,Smurfit WestRock plc Ordinary Shares,$44.39,3.49,8.533%,"23,180,001,493"
549,HUM,Humana Inc. Common Stock,$192.07,-0.95,-0.492%,"23,100,848,171"
550,CW,Curtiss-Wright Corporation Common Stock,$624.93,-49.86,-7.389%,"23,044,067,525"
551,DOW,Dow Inc. Common Stock,$32.40,1.91,6.264%,"23,028,863,501"
552,BCH,Banco De Chile ADS,$45.38,-0.98,-2.114%,"22,920,775,724"
553,LH,Labcorp Holdings Inc. Common Stock,$276.16,3.96,1.455%,"22,893,664,000"
554,WAT,Waters Corporation Common Stock,$384.33,5.38,1.42%,"22,885,959,086"
555,TSN,"Tyson Foods, Inc. Common Stock",$65.00,0.24,0.371%,"22,885,132,790"
556,FTI,TechnipFMC plc Ordinary Share,$56.54,-0.80,-1.395%,"22,871,565,662"
557,NVR,"NVR, Inc. Common Stock","$8,025.84",254.98,3.281%,"22,788,826,923"
558,BTSGU,"BrightSpring Health Services, Inc. Tangible Equity Unit",$126.13,-4.915,-3.751%,"22,747,835,221"
559,GFS,GlobalFoundries Inc. Ordinary Shares,$41.10,0.41,1.008%,"22,724,717,025"
560,VLTO,Veralto Corp Common Stock,$91.41,-6.04,-6.198%,"22,696,860,306"
561,EXEEZ,Expand Energy Corporation Class B Warrants,$95.28,-2.22,-2.277%,"22,692,808,730"
562,STRK,Strategy Inc 8.00% Series A Perpetual Strike Preferred Stock,$78.95,-2.30,-2.831%,"22,686,577,378"
563,BG,Bunge Limited Common Shares,$117.23,0.35,0.299%,"22,667,715,540"
564,L,Loews Corporation Common Stock,$109.43,2.02,1.881%,"22,614,756,417"
565,SOJD,"Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30, 2080",$20.41,-0.02,-0.098%,"22,451,967,577"
566,RGLD,"Royal Gold, Inc. Common Stock",$265.89,0.72,0.272%,"22,440,600,971"
567,AMCR,Amcor plc Ordinary Shares,$48.56,3.64,8.103%,"22,418,791,737"
568,WWD,"Woodward, Inc. Common Stock",$373.31,2.14,0.577%,"22,349,687,057"
569,VRSN,"VeriSign, Inc. Common Stock",$240.97,-2.60,-1.067%,"22,337,919,000"
570,PSTG,"Pure Storage, Inc. Class A Common Stock",$67.27,-1.10,-1.609%,"22,210,646,828"
571,BR,"Broadridge Financial Solutions, Inc. Common Stock",$190.12,4.17,2.243%,"22,192,243,517"
572,CSGP,"CoStar Group, Inc. Common Stock",$52.34,0.61,1.179%,"22,182,884,881"
573,KOF,"Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares, each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares)",$105.57,-2.29,-2.123%,"22,178,486,169"
574,EFX,"Equifax, Inc. Common Stock",$181.04,5.99,3.422%,"22,158,216,458"
575,EXPD,"Expeditors International of Washington, Inc. Common Stock",$164.92,2.70,1.664%,"22,102,731,941"
576,TU,Telus Corporation Ordinary Shares,$14.27,0.39,2.81%,"22,089,960,000"
577,CMS,CMS Energy Corporation Common Stock,$71.60,-0.20,-0.279%,"21,789,295,174"
578,FLEX,Flex Ltd. Ordinary Shares,$58.83,-7.16,-10.85%,"21,754,764,996"
579,FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$87.00,1.23,1.434%,"21,754,718,619"
580,JBHT,"J.B. Hunt Transport Services, Inc. Common Stock",$228.22,7.61,3.45%,"21,730,730,924"
581,IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share),$142.97,5.77,4.206%,"21,644,457,481"
582,RBA,"RB Global, Inc. Common Stock",$115.98,1.31,1.142%,"21,536,558,392"
583,RL,Ralph Lauren Corporation Common Stock,$354.70,0.66,0.186%,"21,509,241,393"
584,FUTU,Futu Holdings Limited American Depositary Shares,$153.35,-6.43,-4.024%,"21,350,537,585"
585,BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),$18.32,0.32,1.778%,"21,319,609,097"
586,TPG,TPG Inc. Class A Common Stock,$56.09,2.75,5.156%,"21,205,964,698"
587,PFG,Principal Financial Group Inc Common Stock,$96.40,1.11,1.165%,"21,178,486,465"
588,TROW,"T. Rowe Price Group, Inc. Common Stock",$97.02,-5.64,-5.494%,"21,173,353,740"
589,GMAB,Genmab A/S ADS,$31.90,-1.13,-3.421%,"21,113,712,334"
590,XPO,"XPO, Inc. Common Stock",$179.54,9.92,5.848%,"21,075,170,579"
591,SQM,Sociedad Quimica y Minera S.A. Common Stock,$73.78,-5.52,-6.961%,"21,074,357,474"
592,DGX,Quest Diagnostics Incorporated Common Stock,$189.23,4.06,2.193%,"21,050,392,161"
593,CG,The Carlyle Group Inc. Common Stock,$58.39,0.12,0.206%,"21,044,368,278"
594,NI,NiSource Inc Common Stock,$44.03,0.07,0.159%,"21,010,919,142"
595,CPAY,"Corpay, Inc. Common Stock",$300.28,8.05,2.755%,"21,007,005,056"
596,PKG,Packaging Corporation of America Common Stock,$232.45,8.03,3.578%,"20,915,169,224"
597,STRD,Strategy Inc 10.00% Series A Perpetual Stride Preferred Stock,$72.43,1.55,2.187%,"20,813,031,026"
598,UTHR,United Therapeutics Corporation Common Stock,$482.59,4.32,0.903%,"20,778,684,111"
599,GPC,Genuine Parts Company Common Stock,$147.95,5.11,3.577%,"20,581,398,475"
600,AFRM,"Affirm Holdings, Inc. Class A Common Stock",$62.16,0.50,0.811%,"20,517,377,338"
601,ILMN,"Illumina, Inc. Common Stock",$134.19,-1.24,-0.916%,"20,504,232,000"
602,PKX,POSCO HOLDINGS INC. American Depositary Shares (Each representing 1/4th of a share of Common Stock),$61.45,-0.31,-0.502%,"20,309,071,867"
603,SMCI,"Super Micro Computer, Inc. Common Stock",$33.76,4.09,13.785%,"20,153,745,450"
604,AS,"Amer Sports, Inc. Ordinary Shares",$36.34,0.39,1.085%,"20,153,126,348"
605,INCY,Incyte Corp. Common Stock,$102.60,1.68,1.665%,"20,142,709,328"
606,CNC,Centene Corporation Common Stock,$40.96,-1.55,-3.646%,"20,132,577,280"
607,CYBR,CyberArk Software Ltd. Ordinary Shares,$407.02,0.35,0.086%,"20,130,685,365"
608,RCI,"Rogers Communication, Inc. Common Stock",$37.24,-0.11,-0.295%,"20,117,989,353"
609,TLK,"PT Telekomunikasi Indonesia, Tbk",$20.29,-0.75,-3.565%,"20,099,723,748"
610,DD,"DuPont de Nemours, Inc. Common Stock",$47.83,2.53,5.585%,"20,039,589,747"
611,Q,"Qnity Electronics, Inc. Common Stock",$95.51,-4.37,-4.375%,"20,005,829,659"
612,LULU,lululemon athletica inc. Common Stock,$178.00,6.43,3.748%,"19,969,827,298"
613,FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$79.76,1.17,1.489%,"19,944,325,943"
614,SOJE,"Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15, 2060",$18.22,-0.09,-0.492%,"19,942,987,728"
615,SNA,Snap-On Incorporated Common Stock,$382.91,4.51,1.192%,"19,914,213,651"
616,NTAP,"NetApp, Inc. Common Stock",$100.53,5.04,5.278%,"19,911,006,784"
617,SGI,Somnigroup International Inc. Common Stock,$94.78,2.00,2.156%,"19,895,048,204"
618,AQNB,"Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079",$25.90,-0.02,-0.077%,"19,891,847,526"
619,ALB,Albemarle Corporation Common Stock,$168.66,-1.98,-1.16%,"19,850,867,096"
620,GPN,Global Payments Inc. Common Stock,$70.80,3.59,5.341%,"19,824,832,396"
621,BEP,Brookfield Renewable Partners L.P. Limited Partnership Units,$29.95,-0.34,-1.122%,"19,707,008,413"
622,SBAC,SBA Communications Corporation Class A Common Stock,$184.87,5.22,2.906%,"19,697,319,302"
623,NBIS,Nebius Group N.V. Class A Ordinary Shares,$82.39,-7.56,-8.405%,"19,617,786,586"
624,USFD,US Foods Holding Corp. Common Stock,$87.82,-0.07,-0.08%,"19,578,714,802"
625,LTM,"LATAM Airlines Group S.A. American Depositary Shares (each representing two thousand (2,000) shares of Common Stock)",$64.14,-3.60,-5.314%,"19,384,322,747"
626,EXAS,Exact Sciences Corporation Common Stock,$102.27,-0.24,-0.234%,"19,377,229,646"
627,WY,Weyerhaeuser Company Common Stock,$26.70,0.02,0.075%,"19,246,988,700"
628,YUMC,"Yum China Holdings, Inc. Common Stock",$53.14,2.40,4.73%,"19,205,817,085"
629,SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares),$27.25,-0.49,-1.766%,"19,177,831,200"
630,CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$176.49,2.42,1.39%,"19,125,960,624"
631,DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,$24.56,0.03,0.122%,"19,099,359,661"
632,FTV,Fortive Corporation Common Stock,$60.13,5.78,10.635%,"19,097,987,673"
633,IFF,"International Flavors & Fragrances, Inc. Common Stock",$74.29,3.91,5.556%,"19,025,399,996"
634,DKS,Dick's Sporting Goods Inc Common Stock,$210.53,7.51,3.699%,"18,941,153,780"
635,BURL,"Burlington Stores, Inc. Common Stock",$300.34,-0.09,-0.03%,"18,899,496,982"
636,NVT,nVent Electric plc Ordinary Shares,$116.69,-2.74,-2.294%,"18,829,045,890"
637,OWL,Blue Owl Capital Inc. Class A Common Stock,$12.06,-0.05,-0.413%,"18,809,153,321"
638,LII,"Lennox International, Inc. Common Stock",$534.53,26.04,5.121%,"18,747,454,162"
639,RVMD,"Revolution Medicines, Inc. Common Stock",$96.51,0.54,0.563%,"18,657,294,381"
640,MTZ,"MasTec, Inc. Common Stock",$235.44,-14.07,-5.639%,"18,576,434,959"
641,LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),$57.10,3.65,6.829%,"18,378,946,244"
642,LI,Li Auto Inc. American Depositary Shares,$17.34,0.32,1.88%,"18,350,249,139"
643,ZTO,"ZTO Express (Cayman) Inc. American Depositary Shares, each representing one Class A ordinary share.",$22.79,0.28,1.244%,"18,333,836,887"
644,HPQ,HP Inc. Common Stock,$19.82,0.82,4.316%,"18,194,453,246"
645,RS,"Reliance, Inc. Common Stock",$346.73,10.64,3.166%,"18,129,458,681"
646,PTC,PTC Inc. Common Stock,$151.34,2.09,1.40%,"18,077,299,820"
647,NVAWW,Nova Minerals Limited Warrant,$40.00,0.10,0.251%,"18,041,128,120"
648,SSNC,"SS&C Technologies Holdings, Inc. Common Stock",$73.70,0.21,0.286%,"17,984,819,601"
649,CDW,CDW Corporation Common Stock,$138.08,11.92,9.448%,"17,977,140,573"
650,MKC,"McCormick & Company, Incorporated Common Stock",$66.58,3.29,5.198%,"17,872,617,953"
651,EVRG,"Evergy, Inc. Common Stock",$77.23,-0.57,-0.733%,"17,779,438,341"
652,GIB,CGI Inc. Common Stock,$82.71,3.06,3.842%,"17,762,625,413"
653,PODD,Insulet Corporation Common Stock,$251.24,0.02,0.008%,"17,673,954,654"
654,RIVN,"Rivian Automotive, Inc. Class A Common Stock",$14.37,-0.04,-0.278%,"17,616,371,463"
655,CX,"Cemex, S.A.B. de C.V. Sponsored ADR",$12.10,-0.65,-5.098%,"17,553,989,380"
656,APG,APi Group Corporation Common Stock,$42.18,-0.15,-0.354%,"17,542,911,537"
657,CRDO,Credo Technology Group Holding Ltd Ordinary Shares,$96.95,-14.36,-12.901%,"17,512,245,157"
658,APTV,Aptiv PLC Ordinary Shares,$81.01,2.81,3.593%,"17,504,593,085"
659,ZBH,"Zimmer Biomet Holdings, Inc. Common Stock",$88.09,1.91,2.216%,"17,457,813,180"
660,BWXT,"BWX Technologies, Inc. Common Stock",$190.10,-20.78,-9.854%,"17,380,224,034"
661,BALL,Ball Corporation Common Stock,$64.81,3.04,4.921%,"17,368,251,210"
662,NXT,Nextpower Inc. Class A Common Stock,$116.72,-3.13,-2.612%,"17,330,100,395"
663,ATI,ATI Inc. Common Stock,$127.50,-0.84,-0.655%,"17,322,616,778"
664,LNT,Alliant Energy Corporation Common Stock,$66.75,0.22,0.331%,"17,158,333,741"
665,FITBM,"Fifth Third Bancorp Depositary Shares Representing a 1/40th Ownership Interest in a Share of 6.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series M",$25.86,-0.02,-0.077%,"17,093,764,346"
666,GRAB,Grab Holdings Limited Class A Ordinary Shares,$4.19,-0.08,-1.874%,"17,070,638,509"
667,WST,"West Pharmaceutical Services, Inc. Common Stock",$237.05,6.10,2.641%,"17,054,185,815"
668,ENTG,"Entegris, Inc. Common Stock",$112.41,-1.29,-1.135%,"17,041,356,000"
669,AGI,Alamos Gold Inc. Class A Common Shares,$40.48,2.19,5.72%,"17,029,237,801"
670,BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,$36.77,0.07,0.191%,"16,959,567,708"
671,TWLO,Twilio Inc. Class A Common Stock,$111.85,2.35,2.146%,"16,957,893,693"
672,FITBI,Fifth Third Bancorp Depositary Shares,$25.60,-0.07,-0.273%,"16,921,901,286"
673,BSAC,Banco Santander - Chile ADS,$35.89,-1.23,-3.314%,"16,908,328,727"
674,J,Jacobs Solutions Inc. Common Stock,$143.33,10.42,7.84%,"16,853,708,591"
675,WES,"Western Midstream Partners, LP Common Units Representing Limited Partner Interests",$41.08,0.78,1.935%,"16,760,464,383"
676,THC,Tenet Healthcare Corporation Common Stock,$190.66,-2.19,-1.136%,"16,756,154,100"
677,MRNA,"Moderna, Inc. Common Stock",$42.77,0.57,1.351%,"16,709,362,728"
678,TOST,"Toast, Inc. Class A Common Stock",$28.32,0.07,0.248%,"16,652,160,000"
679,HOLX,"Hologic, Inc. Common Stock",$74.59,-0.04,-0.054%,"16,651,837,464"
680,CRS,Carpenter Technology Corporation Common Stock,$334.19,-4.73,-1.396%,"16,645,909,324"
681,WSO,"Watsco, Inc. Common Stock",$409.92,19.49,4.992%,"16,625,707,526"
682,VTRS,Viatris Inc. Common Stock,$14.36,0.68,4.971%,"16,539,415,362"
683,CSL,Carlisle Companies Incorporated Common Stock,$395.36,39.52,11.106%,"16,520,423,609"
684,BPYPM,"Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units, Series 1",$15.86,0.015,0.095%,"16,487,745,937"
685,DECK,Deckers Outdoor Corporation Common Stock,$112.25,-1.09,-0.962%,"16,359,857,504"
686,RBC,RBC Bearings Incorporated Common Stock,$516.78,0.68,0.132%,"16,336,160,997"
687,SN,"SharkNinja, Inc. Ordinary Shares",$116.18,-3.25,-2.721%,"16,305,565,114"
688,BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,$15.65,-0.01,-0.064%,"16,269,434,043"
689,ESS,"Essex Property Trust, Inc. Common Stock",$252.57,4.98,2.011%,"16,266,523,837"
690,CRBG,Corebridge Financial Inc. Common Stock,$31.21,1.10,3.653%,"16,244,612,091"
691,INVH,Invitation Homes Inc. Common Stock,$26.47,0.29,1.108%,"16,226,654,991"
692,FITBP,"Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock, Series A",$24.54,-0.0072,-0.029%,"16,221,228,811"
693,HII,"Huntington Ingalls Industries, Inc. Common Stock",$413.14,-16.50,-3.84%,"16,212,206,043"
694,EWBC,"East West Bancorp, Inc. Common Stock",$117.66,2.93,2.554%,"16,188,322,167"
695,WF,Woori Financial Group Inc. American Depositary Shares (each representing three (3) shares of Common Stock),$65.31,0.39,0.601%,"16,137,830,094"
696,MTSI,"MACOM Technology Solutions Holdings, Inc. Common Stock",$215.03,-11.68,-5.152%,"16,129,591,892"
697,FFIV,"F5, Inc. Common Stock",$276.49,1.86,0.677%,"16,061,197,375"
698,TXT,Textron Inc. Common Stock,$90.73,2.10,2.369%,"15,988,809,327"
699,XPEV,"XPeng Inc. American depositary shares, each representing two Class A ordinary shares",$16.77,-0.39,-2.273%,"15,935,260,891"
700,NDSN,Nordson Corporation Common Stock,$285.95,7.78,2.797%,"15,928,397,524"
701,PNR,Pentair plc. Ordinary Share,$97.28,2.49,2.627%,"15,919,082,086"
702,IEX,IDEX Corporation Common Stock,$212.25,10.64,5.278%,"15,886,792,791"
703,COO,"The Cooper Companies, Inc. Common Stock",$80.92,1.59,2.004%,"15,858,541,864"
704,SUI,"Sun Communities, Inc. Common Stock",$127.92,0.35,0.274%,"15,819,660,321"
705,MEDP,"Medpace Holdings, Inc. Common Stock",$561.52,-7.01,-1.233%,"15,817,020,579"
706,MAA,"Mid-America Apartment Communities, Inc. Common Stock",$135.05,2.85,2.156%,"15,811,889,257"
707,NWS,News Corporation Class B Common Stock,$28.09,-0.75,-2.601%,"15,772,794,102"
708,JLL,Jones Lang LaSalle Incorporated Common Stock,$333.95,3.12,0.943%,"15,760,646,689"
709,NLY,Annaly Capital Management Inc. Common Stock,$23.05,0.22,0.964%,"15,743,869,483"
710,ITT,ITT Inc. Common Stock,$185.15,-0.79,-0.425%,"15,735,901,092"
711,LECO,"Lincoln Electric Holdings, Inc. Common Shares",$285.82,14.60,5.383%,"15,727,581,624"
712,BPYPO,"Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units, Series 2",$15.1175,0.01,0.066%,"15,715,857,453"
713,AEG,Aegon Ltd. New York Registry Shares,$7.81,-0.04,-0.51%,"15,668,306,662"
714,KLAR,Klarna Group plc Ordinary Shares,$21.72,0.13,0.602%,"15,615,574,387"
715,QXO,"QXO, Inc. Common Stock",$23.13,0.29,1.27%,"15,602,277,129"
716,KKRS,KKR Group Finance Co. IX LLC 4.625% Subordinated Notes due 2061,$17.46,-0.05,-0.286%,"15,563,030,539"
717,YPF,YPF Sociedad Anonima Common Stock,$39.49,0.52,1.334%,"15,531,922,196"
718,HL,Hecla Mining Company Common Stock,$23.11,-0.33,-1.408%,"15,485,980,264"
719,TRMB,Trimble Inc. Common Stock,$65.04,0.42,0.65%,"15,474,379,368"
720,KTOS,"Kratos Defense & Security Solutions, Inc. Common Stock",$91.33,-12.04,-11.647%,"15,420,221,862"
721,PNFP,"Pinnacle Financial Partners, Inc. Common stock",$101.96,2.96,2.99%,"15,416,352,000"
722,WPC,W. P. Carey Inc. REIT,$70.03,0.78,1.126%,"15,346,726,031"
723,VNOM,"Viper Energy, Inc. Class A Common Stock",$42.59,0.71,1.695%,"15,311,490,312"
724,H,Hyatt Hotels Corporation Class A Common Stock,$161.15,5.03,3.222%,"15,303,241,361"
725,GFL,"GFL Environmental Inc. Subordinate voting shares, no par value",$42.58,-0.09,-0.211%,"15,291,497,578"
726,FNF,"Fidelity National Financial, Inc. Common Stock",$56.04,1.46,2.675%,"15,193,708,038"
727,GGG,Graco Inc. Common Stock,$91.58,2.79,3.142%,"15,183,425,326"
728,FN,Fabrinet Ordinary Shares,$423.03,-25.50,-5.685%,"15,155,984,646"
729,EMA,Emera Incorporated Common Shares,$50.33,0.48,0.963%,"15,134,231,000"
730,SLMBP,"SLM Corporation Floating Rate Non-Cumulative Preferred Stock, Series B",$74.49,0.23,0.31%,"15,124,348,964"
731,AA,Alcoa Corporation Common Stock,$58.16,-3.19,-5.20%,"15,061,348,101"
732,ROIV,Roivant Sciences Ltd. Common Shares,$21.65,-0.32,-1.457%,"15,057,393,465"
733,MGA,"Magna International, Inc. Common Stock",$53.40,1.95,3.79%,"15,048,881,324"
734,APOS,"Apollo Global Management, Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053",$26.39,0.02,0.076%,"15,030,009,412"
735,AVY,Avery Dennison Corporation Common Stock,$193.13,6.31,3.378%,"14,928,059,443"
736,SNN,"Smith & Nephew SNATS, Inc. Common Stock",$35.09,0.91,2.662%,"14,908,407,931"
737,CNH,CNH Industrial N.V. Common Shares,$11.96,0.74,6.595%,"14,906,999,829"
738,ALLE,Allegion plc Ordinary Shares,$173.04,5.20,3.098%,"14,886,969,147"
739,RPM,RPM International Inc. Common Stock,$116.07,5.07,4.568%,"14,865,744,526"
740,MAS,Masco Corporation Common Stock,$71.41,3.36,4.938%,"14,831,544,296"
741,OKTA,"Okta, Inc. Class A Common Stock",$83.42,1.11,1.349%,"14,784,545,036"
742,MKSI,MKS Inc. Common Stock,$220.00,-9.58,-4.173%,"14,777,284,280"
743,CF,"CF Industries Holdings, Inc. Common Stock",$94.70,2.20,2.378%,"14,770,798,787"
744,TYL,"Tyler Technologies, Inc. Common Stock",$343.24,11.19,3.37%,"14,768,837,359"
745,IREN,IREN Limited Ordinary Shares,$44.94,-9.45,-17.375%,"14,755,675,728"
746,HTHT,H World Group Limited American Depositary Shares,$48.04,-0.13,-0.27%,"14,745,353,067"
747,WMG,Warner Music Group Corp. Class A Common Stock,$28.20,-0.24,-0.844%,"14,730,016,538"
748,WCC,"WESCO International, Inc. Common Stock",$301.37,-2.30,-0.757%,"14,660,514,335"
749,KIM,Kimco Realty Corporation (HC) Common Stock,$21.51,0.61,2.919%,"14,566,467,074"
750,VLYPN,"Valley National Bancorp 8.250% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series C",$25.995,0.017,0.065%,"14,495,736,330"
751,BEN,"Franklin Resources, Inc. Common Stock",$27.83,0.83,3.074%,"14,492,846,758"
752,BBIO,"BridgeBio Pharma, Inc. Common Stock",$75.19,-2.99,-3.825%,"14,489,775,649"
753,TLN,Talen Energy Corporation Common Stock,$317.05,-24.37,-7.138%,"14,485,325,867"
754,IOT,Samsara Inc. Class A Common Stock,$25.10,0.45,1.826%,"14,482,801,831"
755,ULS,UL Solutions Inc. Class A Common Stock,$71.85,1.23,1.742%,"14,442,729,085"
756,KSPI,Joint Stock Company Kaspi.kz American Depository Shares,$76.205,0.13,0.171%,"14,428,156,700"
757,CLX,Clorox Company (The) Common Stock,$117.77,2.79,2.427%,"14,365,629,235"
758,SREA,DBA Sempra 5.750% Junior Subordinated Notes due 2079,$22.68,0.08,0.354%,"14,359,748,445"
759,BBY,"Best Buy Co., Inc. Common Stock",$68.50,2.93,4.469%,"14,353,154,556"
760,BPYPN,"Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units, Series 3",$13.8027,-0.0073,-0.053%,"14,349,017,077"
761,TOL,"Toll Brothers, Inc. Common Stock",$150.48,4.02,2.745%,"14,257,962,845"
762,BEPC,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares,$41.67,-0.34,-0.809%,"14,144,190,445"
763,GEN,Gen Digital Inc. Common Stock,$22.93,0.48,2.138%,"14,141,300,334"
764,BNT,Brookfield Wealth Solutions Ltd. Class A Exchangeable Limited Voting Shares,$45.84,1.27,2.849%,"14,111,039,783"
765,PFGC,Performance Food Group Company Common Stock,$89.86,-7.23,-7.447%,"14,091,138,721"
766,VLYPP,"Valley National Bancorp 6.25% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series A",$25.19,0.01,0.04%,"14,046,839,706"
767,VLYPO,"Valley National Bancorp 5.50% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series B",$25.177,0.087,0.347%,"14,039,590,444"
768,RGC,Regencell Bioscience Holdings Limited Ordinary Shares,$28.38,-0.07,-0.246%,"14,033,595,209"
769,BLD,TopBuild Corp. Common Stock,$499.83,19.27,4.01%,"14,031,053,319"
770,ARCC,Ares Capital Corporation Common Stock,$19.56,0.43,2.248%,"13,999,612,296"
771,EG,"Everest Group, Ltd. Common Stock",$333.42,3.59,1.088%,"13,996,324,098"
772,FMS,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),$23.81,0.83,3.612%,"13,972,348,441"
773,PAA,"Plains All American Pipeline, L.P. Common Units representing Limited Partner Interests",$19.80,0.16,0.815%,"13,968,855,846"
774,CLH,"Clean Harbors, Inc. Common Stock",$260.95,-0.54,-0.207%,"13,943,037,343"
775,HRL,Hormel Foods Corporation Common Stock,$25.30,0.68,2.762%,"13,917,714,564"
776,PR,Permian Resources Corporation Class A Common Stock,$16.61,0.47,2.912%,"13,890,038,120"
777,NWSA,News Corporation Class A Common Stock,$24.69,-0.32,-1.279%,"13,863,662,741"
778,RNR,RenaissanceRe Holdings Ltd. Common Stock,$300.37,14.42,5.043%,"13,849,915,922"
779,EVR,Evercore Inc. Class A Common Stock,$356.36,17.63,5.205%,"13,783,350,167"
780,IONS,"Ionis Pharmaceuticals, Inc. Common Stock",$84.99,0.40,0.473%,"13,766,203,661"
